epoch,loss,td_loss,bc_loss
1,0.830413365725315,0.00044944606947176384,0.007803474050579649
2,0.635575740626364,0.000215875402544484,0.006525622714649547
3,0.538162603522792,0.00034807897878415657,0.004604370305032441
4,0.49077715656974097,0.0006139827045527371,0.005842913280833851
5,0.4591599029121977,0.0005785021366495075,0.004948458888313987
6,0.4352105989600673,0.0005335187821677237,0.0046615246570471565
7,0.41616930148818276,0.0003891878958904382,0.004492030721722227
8,0.40071361480337203,0.0007188425371141145,0.004697545730706417
9,0.3870785971482595,0.0009518118518771548,0.004632040948578805
10,0.37457335139765885,0.000525762140750885,0.003782378543506969
11,0.36301668214075494,0.0005482035604390231,0.003956723213195801
12,0.3524454496123574,0.0005743323401971297,0.004257966894091982
13,0.34194702433817314,0.0004491128704764626,0.0037269769292889218
14,0.3328230838884007,0.000544065869215763,0.00411070982615153
15,0.32370014226797855,0.0006644903258843856,0.0037067200198318017
16,0.31444409941181994,0.0006072796655423714,0.0035759441780321526
17,0.3057640855059479,0.00057655545798215,0.004194918184569388
18,0.29779498848048125,0.0005223582188288371,0.0034390980547124687
19,0.2902700686093533,0.000561413484992403,0.0038477431644092907
20,0.28235473985021764,0.00026271234859119764,0.00343340996539954
21,0.27539050714536145,0.00033058959877852237,0.0028934951984521113
22,0.26807239760052076,0.0005067395441459887,0.003489849784157493
23,0.26119043005235265,0.0006917272101749074,0.003615853280732126
24,0.2544665948008046,0.00035972468780748774,0.0034769459204240277
25,0.2480411691196037,0.0005690236886342366,0.0033322507684881036
26,0.2416071942358306,0.00037496229915907886,0.003400157437180028
27,0.23509372427608027,0.0005195268627369042,0.0032751823916579736
28,0.2291190720868833,0.00041457825537883876,0.0034710233861749823
29,0.22322091469258973,0.0004836394028230147,0.0034896153392213764
30,0.2172255622618126,0.00035287293069290393,0.0036971695495374274
31,0.21153509941968052,0.0004988244085600881,0.0033477559234156755
32,0.2062141820336833,0.0004282280802726746,0.0033013408834284
33,0.20030236623503944,0.00041898132273645114,0.0028543363917957654
34,0.19503054528525382,0.000753350555896759,0.003644634738112941
35,0.18954659474618507,0.0005017961968075145,0.0035228263248096815
36,0.18418404866348614,0.0004303398908990802,0.0036076993653268523
37,0.17881202133315982,0.0002366338489633618,0.003266943223548658
38,0.1740344529802149,0.0005123678933490406,0.0031875606739159785
39,0.16848570117444703,0.0003618244646173535,0.003206605622262666
40,0.16316310370510276,0.0003464689760497122,0.0028458172624761407
