epoch,mean_q_value,mean_expected_return
1,42.18184660781514,28.941045647317715
2,47.54007204012437,33.56919552340652
3,55.177357666420214,42.49352718844558
4,62.88874145710107,50.81539258812413
5,68.73127247347976,57.311042745908104
6,72.7068924181389,61.80956276980314
7,75.7788089911143,65.36990888190992
8,77.9824369242697,68.04680849566604
9,79.9800849683357,70.26927507284915
10,81.64993506489378,72.1534133679939
11,82.48555963689631,73.55665882428487
12,83.50677504683985,74.75180156303175
13,84.26601727803548,75.54714542446715
14,85.21365165710449,76.48242567524765
15,85.72856137246796,77.1388684980797
16,85.87125066554908,77.54116975899899
17,86.13295782696116,77.87441358421788
18,86.47962880857062,78.22885397708778
19,86.35075478842764,78.3323341066187
20,86.4554886745684,78.37128007050717
21,86.44117749098575,78.4504385066755
22,86.36811418966813,78.50727269143769
23,86.37130542234941,78.46478715087429
24,86.1652647003983,78.4121844624028
25,86.1953698866295,78.32939823468527
26,86.10640247662862,78.27811183351459
27,85.53144483855276,77.96313296664846
28,85.49400940085903,77.88193623224893
29,85.1712107297146,77.57422118475942
30,84.85235741644195,77.35277959794709
31,84.576301538583,77.08774147611676
32,84.70040715101993,77.02757730628504
33,84.20403570839852,76.78970351363674
34,83.90439553694291,76.52754021413398
35,83.94773038950834,76.41170454747748
36,83.58318350531839,76.08285893093456
37,83.6660915071314,76.04642138336644
38,83.19321433703105,75.8477499629512
39,83.59407750043002,75.8451034083511
40,83.44798203670616,75.91775644909252
41,83.28321359374307,75.71746168714581
42,83.06706168434836,75.58191642616734
43,83.34849191434456,75.61688099846695
44,83.35570992845479,75.73323369026184
45,83.53065743590847,75.77108105023702
46,83.66831103960673,75.83402935302618
47,83.74523527694471,75.94600388498017
48,84.03644988031098,76.20454329432863
49,84.33505123311824,76.37061061281146
50,84.66452703331456,76.6095756039475
51,85.1766075148727,76.87984509901567
52,85.29467579090235,77.15426289674008
53,86.12056222828951,77.61970617554404
54,86.749456615159,78.20559245167357
55,87.4640821688103,78.77462661627567
56,88.05826367753924,79.24658291267626
57,89.06883911652999,79.96862899173391
58,90.31016765218793,80.86478580128062
59,91.49841471151872,81.96336861812708
60,92.59542606093667,83.03632143772009
61,93.19420290715766,83.78635135563937
62,94.27631356499411,84.64931592796788
63,94.90006631070918,85.48551328254469
64,95.50704009605177,85.97791249101813
65,96.20915029988144,86.73517281358892
66,96.98581746130279,87.37638711929321
67,97.73531812610048,88.08796738133286
68,98.30941391713691,88.70061123009883
69,98.69769529862837,89.07305215344284
70,99.20349410085967,89.66621872150536
71,99.7715894019965,90.10197549155265
72,100.32336216984372,90.6038906357505
73,100.4955154837984,91.00165153994705
74,100.92388647975343,91.2941075816299
75,101.4833594452251,91.71949180689725
76,101.76991007544778,91.97328303799485
77,102.13790384205905,92.44103879639597
78,102.6329830198577,92.89033470731793
79,102.86536859743522,93.10832514907375
80,103.33464066187541,93.51282314820723
81,103.62735238942233,93.80062612620267
82,103.82891683867483,94.09919688195893
83,104.09256425770846,94.3038246125886
84,104.25704656225263,94.48348186232826
85,104.60247505794872,94.70977595358184
86,104.98892422878382,95.10933110208222
87,105.15984755573851,95.2790038874655
88,105.23641936706774,95.45129512295578
89,105.68876685518207,95.68619305437261
90,105.76818202481127,95.94533736055547
91,106.10483841462568,96.05847998098893
92,106.33572415872055,96.35291374090946
93,106.5138362754475,96.53962901144317
94,106.62301558436769,96.7312296592828
95,106.92911642970462,96.91918235836607
96,107.09668488213511,97.11439111016014
97,107.24852991826606,97.20220114245559
98,107.48361331043822,97.41746281132554
99,107.62048721313478,97.61990218451528
100,107.87191159797437,97.76339570681255
101,108.26068939584674,98.07698069196759
102,108.50500160997565,98.33672201994693
103,108.44419183153096,98.37500055631003
104,108.9154544021144,98.72197151184082
105,109.14215228774331,98.86563246900386
106,109.35128883882001,99.12593917413191
107,109.35194279208326,99.19776764782992
108,109.51184684580022,99.37299970424537
109,109.90814198147167,99.59450230453953
110,110.12714089769307,99.7820809393218
111,110.48611304976723,100.05646593642959
112,110.50475185567683,100.28151952859128
113,110.73901559367326,100.35155328837308
114,110.69203662149833,100.42713783004066
115,110.96438758301012,100.56182922738972
116,111.08942284728542,100.77606237295902
117,111.14746054013571,100.8470818490693
118,111.45276094927932,101.00983717224814
119,111.53530081113179,101.14331415205291
120,111.70430410992016,101.30878108920473
121,111.73313068621087,101.40840566519536
122,111.74731330438095,101.44348354050608
123,112.24235039768797,101.67276227112971
124,112.1046313011285,101.7119332154592
125,112.31978871605612,101.88635439583749
126,112.53570235136783,102.0062260916739
127,112.6171054984584,102.14381474437135
128,112.83565969178171,102.32730688470784
129,113.1146139087099,102.50320792198183
130,112.98972061186126,102.56727066907017
131,113.38309569792312,102.71505182439631
